 Comunidad_de_riego_Turia_ SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons               
    31     1    31  2016         1     1  Comunidad_de_rieg          5.7562     0.4547E+02     0.7127E-01     0.4671E+02     0.9769E+02     0.9861E-06     0.1035E-08     0.7682E-25     0.6934E+00     0.1645E-01     0.0000E+00     0.1116E-34     0.0000E+00     0.0000E+00     0.9163E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1703E+02     0.1614E-04     0.1623E-05     0.7190E-05     0.2157E-04     0.4371E+00     0.1298E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8755E-02     0.1613E-02     0.1613E-02     0.1613E-02     0.1613E-02     0.1613E-02     0.0000E+00     0.1359E-01     0.1795E-04     0.9976E-08     0.9887E-11     0.7341E-27     0.6625E-02     0.1572E-03     0.0000E+00     0.3313E-34     0.0000E+00     0.0000E+00     0.8755E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1561E-01
    60     2    29  2016         1     1  Comunidad_de_rieg          5.7562     0.1664E+03     0.3304E-02     0.1666E+03     0.9703E+02     0.9828E-06     0.1031E-08     0.7655E-25     0.6909E+00     0.1639E-01     0.0000E+00     0.6996E-35     0.0000E+00     0.0000E+00     0.9130E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1471E+02     0.4644E-05     0.1513E-05     0.6727E-05     0.2018E-04     0.8024E-02     0.2277E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3226E-02     0.1509E-02     0.1509E-02     0.1509E-02     0.1509E-02     0.1509E-02     0.0000E+00     0.1635E-02     0.5032E-05     0.3569E-08     0.3643E-11     0.2705E-27     0.2441E-02     0.5791E-04     0.0000E+00     0.4160E-35     0.0000E+00     0.0000E+00     0.3226E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1509E-02
    91     3    31  2016         1     1  Comunidad_de_rieg          5.7562     0.1045E+04     0.2937E+03     0.3823E+03     0.3446E+02     0.1718E-07     0.5044E-09     0.2603E-09     0.2002E-08     0.2350E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1969E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1673E+02     0.1600E-02     0.1647E-05     0.7193E-05     0.2157E-04     0.9465E-03     0.2914E-04     0.0000E+00     0.1277E-09     0.0000E+00     0.0000E+00     0.3286E+00     0.1613E-02     0.1613E-02     0.1613E-02     0.1613E-02     0.1613E-02     0.0000E+00     0.1304E-03     0.1827E-02     0.4225E-07     0.2555E-08     0.3598E-08     0.8348E-03     0.1981E-04     0.0000E+00     0.1482E-09     0.0000E+00     0.0000E+00     0.5070E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1142E-03
   121     4    30  2016         1     1  Comunidad_de_rieg          5.7562     0.1448E+04     0.3218E+03     0.4410E+03     0.6896E+02     0.1495E-07     0.4707E-09     0.5473E-09     0.1778E-08     0.9271E-09     0.0000E+00     0.8498E-10     0.0000E+00     0.0000E+00     0.3206E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1730E+02     0.2537E-02     0.1592E-05     0.6961E-05     0.2088E-04     0.7920E-05     0.6974E-05     0.0000E+00     0.5056E-09     0.4626E-09     0.0000E+00     0.5146E+00     0.1561E-02     0.1561E-02     0.1561E-02     0.1561E-02     0.1561E-02     0.0000E+00     0.3889E-04     0.2944E-02     0.3870E-07     0.3019E-08     0.3713E-08     0.1566E-07     0.1571E-07     0.0000E+00     0.5254E-09     0.4626E-09     0.0000E+00     0.8055E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3352E-04
   152     5    31  2016         1     1  Comunidad_de_rieg          5.7562     0.1265E+04     0.3663E+03     0.3784E+03     0.5704E+02     0.1254E-07     0.3771E-10     0.7181E-11     0.1106E-09     0.1363E-10     0.0000E+00     0.1254E-11     0.0000E+00     0.0000E+00     0.1088E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1961E+02     0.1795E-02     0.1633E-05     0.7192E-05     0.2157E-04     0.7194E-05     0.7193E-05     0.0000E+00     0.9205E-10     0.0000E+00     0.0000E+00     0.3337E+00     0.1613E-02     0.1613E-02     0.1613E-02     0.1613E-02     0.1613E-02     0.0000E+00     0.4469E-03     0.2092E-02     0.2481E-07     0.1395E-08     0.1416E-08     0.3961E-08     0.2240E-08     0.0000E+00     0.9232E-10     0.0000E+00     0.0000E+00     0.5460E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3834E-03
   182     6    30  2016         1     1  Comunidad_de_rieg          5.7562     0.8462E+02     0.1562E+02     0.7033E+02     0.5519E+02     0.1160E-07     0.3552E-10     0.6763E-11     0.1041E-09     0.1284E-10     0.0000E+00     0.1181E-11     0.0000E+00     0.0000E+00     0.1025E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2398E+02     0.2065E-04     0.1562E-05     0.6958E-05     0.2088E-04     0.6958E-05     0.6958E-05     0.0000E+00     0.7286E-13     0.0000E+00     0.0000E+00     0.6326E-03     0.1561E-02     0.1561E-02     0.1561E-02     0.1561E-02     0.1561E-02     0.0000E+00     0.9820E+12     0.2065E-04     0.1076E-08     0.2192E-11     0.4174E-12     0.6427E-11     0.7924E-12     0.0000E+00     0.7286E-13     0.0000E+00     0.0000E+00     0.6326E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9819E+12
   213     7    31  2016         1     1  Comunidad_de_rieg          5.7562     0.1727E+02     0.0000E+00     0.1776E+02     0.5413E+02     0.1213E-07     0.3398E-10     0.6470E-11     0.9964E-10     0.1228E-10     0.0000E+00     0.1130E-11     0.0000E+00     0.0000E+00     0.9807E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2800E+02     0.1174E-04     0.1614E-05     0.7190E-05     0.2157E-04     0.7190E-05     0.7190E-05     0.0000E+00     0.5117E-13     0.0000E+00     0.0000E+00     0.4442E-03     0.1613E-02     0.1613E-02     0.1613E-02     0.1613E-02     0.1613E-02     0.0000E+00     0.3038E-01     0.1174E-04     0.5731E-09     0.1539E-11     0.2931E-12     0.4514E-11     0.5565E-12     0.0000E+00     0.5117E-13     0.0000E+00     0.0000E+00     0.4442E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3038E-01
   244     8    31  2016         1     1  Comunidad_de_rieg          5.7562     0.1467E+04     0.1420E+04     0.6363E+03     0.5109E+04     0.1773E-03     0.1910E-07     0.8268E-17     0.2198E+02     0.8372E-01     0.0000E+00     0.1443E-17     0.0000E+00     0.0000E+00     0.4021E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2425E+02     0.1886E+01     0.6125E-01     0.7877E-05     0.2157E-04     0.1764E+04     0.6720E+01     0.0000E+00     0.1130E-11     0.0000E+00     0.0000E+00     0.1097E+04     0.1613E-02     0.1613E-02     0.1613E-02     0.1613E-02     0.1613E-02     0.0000E+00     0.1049E+05     0.1759E+01     0.2837E-01     0.7384E-06     0.6470E-11     0.8195E+03     0.3122E+01     0.0000E+00     0.1130E-11     0.0000E+00     0.0000E+00     0.1230E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6894E+04
   274     9    30  2016         1     1  Comunidad_de_rieg          5.7562     0.2722E+04     0.7785E+03     0.4673E+03     0.1565E+05     0.2118E-02     0.1008E-06     0.5449E-07     0.9006E+02     0.3419E+00     0.0000E+00     0.6743E-08     0.0000E+00     0.0000E+00     0.1364E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1760E+02     0.1564E+01     0.5413E-01     0.7681E-05     0.2088E-04     0.1370E+04     0.5200E+01     0.0000E+00     0.3061E-09     0.0000E+00     0.0000E+00     0.8909E+03     0.1561E-02     0.1561E-02     0.1561E-02     0.1561E-02     0.1561E-02     0.0000E+00     0.9280E+03     0.1382E+01     0.2152E-01     0.7596E-06     0.2579E-08     0.6449E+03     0.2448E+01     0.0000E+00     0.3096E-09     0.0000E+00     0.0000E+00     0.9750E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8213E+03
