 Comunidad_de_riego_Turia_ SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwtranq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex     wet_out
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    31     1    31  2016       1       1  Comunidad_de_rie       0.790       0.000       0.000       0.000       0.000       0.000       0.000       1.240       0.450       0.000       0.790       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      65.938       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.790
    60     2    29  2016       1       1  Comunidad_de_rie       2.890       0.000       0.000       0.000       0.000       0.000       0.000       3.565       0.675       0.000       2.890       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      89.596       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       2.890
    91     3    31  2016       1       1  Comunidad_de_rie      18.150       0.000       0.000       0.000       0.000       0.000       0.000      19.026       0.876       0.899      17.252       0.000       0.000       0.000       0.000       0.171       0.171       0.000       0.000       0.000      97.784       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.000       0.000       0.000       0.000       9.858
   121     4    30  2016       1       1  Comunidad_de_rie      25.160       0.000       0.000       0.000       0.000       0.000       0.000      26.085       1.057       1.048      23.980       0.000       0.000       0.000       0.132       0.183       0.186       0.000       0.000       0.000     105.971       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.132       0.000       0.000       0.000      13.894
   152     5    31  2016       1       1  Comunidad_de_rie      21.970       0.000       0.000       0.000       0.000       0.000       0.000      23.302       1.199       1.063      21.040       0.000       0.000       0.132       0.000       0.121       0.119       0.000       0.000       0.000     139.233       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.132       0.000       0.000       0.000      11.330
   182     6    30  2016       1       1  Comunidad_de_rie       1.470       0.000       0.000       0.000       0.000       0.000       0.000       1.886       0.416       0.000       1.470       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     160.947       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       1.470
   213     7    31  2016       1       1  Comunidad_de_rie       0.300       0.000       0.000       0.000       0.000       0.000       0.000       0.600       0.300       0.000       0.300       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     166.724       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.300
   244     8    31  2016       1       1  Comunidad_de_rie      25.490       0.000       0.000       2.112       0.000       2.112       0.000      24.325       0.947       1.041      22.337       4.224       0.000       0.000       0.000       0.035       0.035       0.000       0.000       0.000     142.186       0.000       0.000       0.000       0.000       0.000       4.224       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.000       0.000       0.000       0.000      14.069
   274     9    30  2016       1       1  Comunidad_de_rie      47.290       0.000       0.000       2.013       0.000       2.013       0.000      34.595       0.867       1.230      32.497       4.027       0.000       0.000       0.930       0.170       0.186       0.000       0.000       0.000     108.256       0.000       0.000       0.000       0.000       0.000       4.027       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.930       0.000       0.000       0.000      19.570
   305    10    31  2016       1       1  Comunidad_de_rie      13.750       0.000       0.000       0.000       0.000       0.000       0.000      26.654       1.825       2.123      22.706       0.000       0.000       0.930       0.470       0.531       0.523       0.000       0.000       0.000      62.054       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.460       0.000       0.000       0.000      13.132
   335    11    30  2016       1       1  Comunidad_de_rie      71.260       0.000       0.000      15.551       0.000      15.551       0.000      12.846       1.327       1.324      10.195      31.102       0.000       0.470       1.792       0.466       0.488       0.000       0.000       0.000      42.350       0.000       0.000       0.000       0.000       0.000      31.102       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       1.321       0.000       0.000       0.000       6.103
   366    12    31  2016       1       1  Comunidad_de_rie      27.180       0.000       0.000      37.972       0.000      37.972       0.000      28.900       2.100       4.162      22.638      75.943       0.000       1.792       5.070       3.621       3.674       0.000       0.000       0.000      18.784       0.000       0.000       0.000       0.000       0.000      75.943       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       3.278       0.000       0.000       0.000      13.149
    31     1    31  2017       1       1  Comunidad_de_rie     100.150       0.000       0.000      55.846       0.000      55.846       0.000      32.996       1.375       7.332      24.289     111.692       0.000       5.070       0.978       2.053       1.987       0.000       0.000       0.000      41.429       0.000       0.000       0.000       0.000       0.000     111.692       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -4.092       0.000       0.000       0.000      13.761
    59     2    28  2017       1       1  Comunidad_de_rie      16.800       0.000       0.000       0.000       0.000       0.000       0.000      37.353       1.200       2.350      33.802       0.000       0.000       0.978       0.400       0.455       0.444       0.000       0.000       0.000      59.244       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.578       0.000       0.000       0.000      17.332
    90     3    31  2017       1       1  Comunidad_de_rie      59.510       0.000       0.000      19.259       0.000      19.259       0.000      41.254       0.602       2.234      38.417      38.519       0.000       0.400       0.000       0.341       0.334       0.000       0.000       0.000      96.256       0.000       0.000       0.000       0.000       0.000      38.519       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.400       0.000       0.000       0.000      22.491
   120     4    30  2017       1       1  Comunidad_de_rie      30.970       0.000       0.000       2.256       0.000       2.256       0.000      19.082       0.785       0.574      17.722       4.513       0.000       0.000       0.866       0.106       0.121       0.000       0.000       0.000     104.933       0.000       0.000       0.000       0.000       0.000       4.513       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.866       0.000       0.000       0.000      11.130
   151     5    31  2017       1       1  Comunidad_de_rie       7.230       0.000       0.000       0.000       0.000       0.000       0.000      17.814       0.166       0.983      16.665       0.000       0.000       0.866       0.000       0.097       0.083       0.000       0.000       0.000     154.198       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.866       0.000       0.000       0.000       8.180
   181     6    30  2017       1       1  Comunidad_de_rie      13.670       0.000       0.000       0.000       0.000       0.000       0.000      14.777       1.106       0.430      13.240       0.000       0.000       0.000       0.000       0.013       0.013       0.000       0.000       0.000     178.023       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       8.349
   212     7    31  2017       1       1  Comunidad_de_rie       2.680       0.000       0.000       0.000       0.000       0.000       0.000       3.442       0.762       0.000       2.680       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     166.192       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       2.680
   243     8    31  2017       1       1  Comunidad_de_rie      24.270       0.000       0.000       0.000       0.000       0.000       0.000      12.990       0.937       0.223      11.830       0.000       0.000       0.000       0.497       0.027       0.035       0.000       0.000       0.000     134.789       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.497       0.000       0.000       0.000       8.956
   273     9    30  2017       1       1  Comunidad_de_rie      12.400       0.000       0.000       2.106       0.000       2.106       0.000      22.915       0.404       1.131      21.380       4.213       0.000       0.497       0.000       0.176       0.167       0.000       0.000       0.000     108.095       0.000       0.000       0.000       0.000       0.000       4.213       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.497       0.000       0.000       0.000      11.578
   304    10    31  2017       1       1  Comunidad_de_rie      23.080       0.000       0.000       0.000       0.000       0.000       0.000      23.980       0.900       1.083      21.997       0.000       0.000       0.000       0.000       0.206       0.206       0.000       0.000       0.000      71.202       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.000       0.000       0.000       0.000      11.966
