 Comunidad_de_riego_Turia_ SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null     water_temp
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          degc
   366    12    31  2016       1       1  cha01                0.2130E+00     0.5448E+03     0.9284E+02     0.1342E+03     0.4704E-19     0.5342E-27     0.2488E-30     0.0000E+00     0.4669E-21     0.8582E-23     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4628E-21     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1192E+02     0.6767E-03     0.2146E-02     0.2518E-05     0.7554E-05     0.2722E+03     0.3299E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2340E-03     0.2340E-03     0.2340E-03     0.2340E-03     0.2340E-03     0.0000E+00     0.3727E+03     0.6809E-03     0.8048E-03     0.8959E-07     0.0000E+00     0.1660E+03     0.2144E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2091E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3470E+03     0.1192E+02
   366    12    31  2016       2       2  cha02                0.1185E-01     0.3031E+02     0.5166E+01     0.7469E+01     0.3447E-20     0.1104E-31     0.2862E-31     0.0000E+00     0.3572E-22     0.7169E-24     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3333E-22     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1192E+02     0.1339E-03     0.2930E-03     0.5874E-06     0.1762E-05     0.5395E+02     0.6544E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2285E-03     0.2285E-03     0.2285E-03     0.2285E-03     0.2285E-03     0.0000E+00     0.7913E+04     0.1341E-03     0.7086E-04     0.2513E-07     0.0000E+00     0.3654E+02     0.4845E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3956E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7697E+04     0.1192E+02
   366    12    31  2016       3       3  cha03                0.2794E-02     0.7145E+01     0.2712E+01     0.2593E+01     0.1412E-13     0.3221E-19     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1192E+02     0.3294E-02     0.1200E-02     0.4680E-06     0.9856E-08     0.7986E+03     0.1020E+02     0.0000E+00     0.2580E-10     0.7418E-12     0.0000E+00     0.4636E+03     0.2774E-03     0.2774E-03     0.2774E-03     0.2774E-03     0.2774E-03     0.0000E+00     0.3142E+02     0.3294E-02     0.6043E-03     0.4641E-06     0.0000E+00     0.7985E+03     0.1020E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5416E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3142E+02     0.1192E+02
   366    12    31  2016       4       4  cha04                0.1320E+00     0.3374E+03     0.1666E+03     0.1473E+03     0.6074E+02     0.1331E-05     0.7361E-09     0.0000E+00     0.5342E+00     0.1033E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5765E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1192E+02     0.1163E-01     0.7297E-01     0.4636E-05     0.7752E-06     0.2822E+04     0.3603E+02     0.0000E+00     0.2279E-09     0.8858E-12     0.0000E+00     0.3579E+04     0.4026E-03     0.4026E-03     0.4026E-03     0.4026E-03     0.4026E-03     0.0000E+00     0.9106E+01     0.1162E-01     0.7540E-01     0.4167E-05     0.1892E-09     0.2817E+04     0.3599E+02     0.0000E+00     0.1348E-10     0.0000E+00     0.0000E+00     0.3672E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9032E+01     0.1192E+02
   366    12    31  2016       5       5  cha05                0.4693E-02     0.1200E+02     0.8722E+01     0.6459E+01     0.8617E+00     0.6969E-07     0.1399E-10     0.0000E+00     0.5091E-02     0.1043E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7786E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1192E+02     0.3557E-02     0.1029E-01     0.4725E-05     0.1238E-04     0.9180E+03     0.1202E+02     0.0000E+00     0.5058E-09     0.1937E-05     0.0000E+00     0.7720E+03     0.3343E-03     0.3343E-03     0.3343E-03     0.3343E-03     0.3343E-03     0.0000E+00     0.2819E+02     0.3557E-02     0.5172E-02     0.4665E-05     0.6881E-05     0.9179E+03     0.1202E+02     0.0000E+00     0.0000E+00     0.2497E-10     0.0000E+00     0.8448E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2817E+02     0.1192E+02
   366    12    31  2016       6       6  cha06                0.1299E-02     0.3322E+01     0.5662E+00     0.8186E+00     0.5592E-21     0.3380E-28     0.8251E-32     0.0000E+00     0.3340E-23     0.7264E-25     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5516E-23     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1192E+02     0.8112E-05     0.2067E-03     0.8841E-07     0.2652E-06     0.2579E+01     0.3131E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3618E-03     0.3618E-03     0.3618E-03     0.3618E-03     0.3618E-03     0.0000E+00     0.2059E+07     0.8137E-05     0.1091E-03     0.2921E-08     0.0000E+00     0.2127E+01     0.2721E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2524E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1871E+07     0.1192E+02
   366    12    31  2016       7       7  cha07                0.1132E-01     0.2894E+02     0.4932E+01     0.7130E+01     0.7468E-21     0.1555E-27     0.9012E-32     0.0000E+00     0.7479E-23     0.1600E-24     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6256E-23     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1192E+02     0.1329E-03     0.3376E-03     0.7141E-06     0.2142E-05     0.5435E+02     0.6597E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9792E-04     0.9792E-04     0.9792E-04     0.9792E-04     0.9792E-04     0.0000E+00     0.8020E+04     0.1332E-03     0.5537E-02     0.3367E-07     0.0000E+00     0.3959E+02     0.5272E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3414E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7922E+04     0.1192E+02
   366    12    31  2016       8       8  cha08                0.1657E-01     0.4237E+02     0.7221E+01     0.1044E+02     0.1559E-20     0.1481E-26     0.1780E-31     0.0000E+00     0.1559E-22     0.3322E-24     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1422E-22     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1192E+02     0.1463E-03     0.3754E-03     0.7798E-06     0.2340E-05     0.5981E+02     0.7260E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9718E-04     0.9718E-04     0.9718E-04     0.9718E-04     0.9718E-04     0.0000E+00     0.6654E+04     0.1466E-03     0.3346E-02     0.3565E-07     0.0000E+00     0.4345E+02     0.5786E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4119E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6513E+04     0.1192E+02
   366    12    31  2016       9       9  cha09                0.2441E-01     0.6241E+02     0.1064E+02     0.1538E+02     0.2566E-20     0.1870E-26     0.2713E-31     0.0000E+00     0.2614E-22     0.5493E-24     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2379E-22     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1192E+02     0.2010E-03     0.5156E-03     0.1011E-05     0.3034E-05     0.8218E+02     0.9974E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9172E-04     0.9172E-04     0.9172E-04     0.9172E-04     0.9172E-04     0.0000E+00     0.3593E+04     0.2015E-03     0.3507E-02     0.4565E-07     0.0000E+00     0.5878E+02     0.7813E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5769E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3505E+04     0.1192E+02
