 DIAGNOSTICS.OUT FILE
 wetm_lum                                wetm_comm                                not found in plant.ini
 rice_paddy1_lum                         paddy1                                   not found in management.sch
 rice_paddy2_lum                         paddy2                                   not found in management.sch
 rice_paddy4_lum                         paddy4                                   not found in management.sch
 rice_paddy8_lum                         paddy8                                   not found in management.sch
 rice_paddy10_lum                        paddy10                                  not found in management.sch
 rice_paddy13_lum                        paddy13                                  not found in management.sch
 rice_paddy18_lum                        paddy18                                  not found in management.sch
 rice_paddy22_lum                        paddy22                                  not found in management.sch
 rice_paddy26_lum                        paddy26                                  not found in management.sch
 rice_paddy29_lum                        paddy29                                  not found in management.sch
 rice_paddy33_lum                        paddy33                                  not found in management.sch
 rice_paddy36_lum                        paddy36                                  not found in management.sch
 rice_paddy39_lum                        paddy39                                  not found in management.sch
 rice_paddy40_lum                        paddy40                                  not found in management.sch
 rice_paddy47_lum                        paddy47                                  not found in management.sch
 rice_paddy50_lum                        paddy50                                  not found in management.sch
 rice_paddy56_lum                        paddy56                                  not found in management.sch
 rice_paddy66_lum                        paddy66                                  not found in management.sch
 rice_paddy72_lum                        paddy72                                  not found in management.sch
 rice_paddy75_lum                        paddy75                                  not found in management.sch
 rice_paddy79_lum                        paddy79                                  not found in management.sch
 rice_paddy85_lum                        paddy85                                  not found in management.sch
 rice_paddy89_lum                        paddy89                                  not found in management.sch
 rice_paddy93_lum                        paddy93                                  not found in management.sch
 rice_paddy98_lum                        paddy98                                  not found in management.sch
 rice_paddy102_lum                       paddy102                                 not found in management.sch
 rice_paddy106_lum                       paddy106                                 not found in management.sch
 rice_paddy110_lum                       paddy110                                 not found in management.sch
 rice_paddy114_lum                       paddy114                                 not found in management.sch
 rice_paddy120_lum                       paddy120                                 not found in management.sch
 rice_paddy124_lum                       paddy124                                 not found in management.sch
 rice_paddy128_lum                       paddy128                                 not found in management.sch
 rice_paddy131_lum                       paddy131                                 not found in management.sch
 rice_paddy135_lum                       paddy135                                 not found in management.sch
 rice_paddy139_lum                       paddy139                                 not found in management.sch
 rice_paddy143_lum                       paddy143                                 not found in management.sch
 file not found (basins_carbon.tes)
