 Comunidad_de_riego_Turia_ SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
    366    12    31  2016      1       0  rtu010                 0.940   47722.469       0.000    1174.763      18.434     259.296       0.000      85.281       0.000       0.051     161.760       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
    366    12    31  2016      2       0  rtu020                 0.940   47722.453       0.000    1174.763      18.434     259.296       0.000      85.281       0.000       0.051     161.760       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
    366    12    31  2016      3       0  rtu030                 0.940   47722.512       0.000    1174.764      18.434     259.296       0.000      85.281       0.000       0.051     161.760       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
    366    12    31  2016      4       0  rtu040                 0.940   47722.461       0.000    1174.763      18.434     259.296       0.000      85.281       0.000       0.051     161.760       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
    366    12    31  2016      5       0  rtu050                 0.940   47722.512       0.000    1174.764      18.434     259.296       0.000      85.281       0.000       0.051     161.760       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
    366    12    31  2016      6       0  rtu060                 0.940   47722.414       0.000    1174.762      18.434     259.296       0.000      85.281       0.000       0.051     161.759       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
    366    12    31  2016      7       0  rtu070                 0.940   47722.441       0.000    1174.762      18.434     259.296       0.000      85.281       0.000       0.051     161.760       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
    366    12    31  2016      8       0  rtu080                 0.940   47722.461       0.000    1174.763      18.434     259.296       0.000      85.281       0.000       0.051     161.760       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
    366    12    31  2016      9       0  rtu090                 0.940   47722.461       0.000    1174.763      18.434     259.296       0.000      85.281       0.000       0.051     161.760       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
    366    12    31  2016     10       0  rtu100                 0.940   47722.449       0.000    1174.763      18.434     259.296       0.000      85.281       0.000       0.051     161.760       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
    366    12    31  2016     11       0  rtu110                 0.940   47722.461       0.000    1174.763      18.434     259.296       0.000      85.281       0.000       0.051     161.760       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
    366    12    31  2016     12       0  rtu120                 0.940   47722.414       0.000    1174.762      18.434     259.296       0.000      85.281       0.000       0.051     161.759       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
    366    12    31  2016     13       0  rtu130                 0.940   47722.512       0.000    1174.764      18.434     259.296       0.000      85.281       0.000       0.051     161.760       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
    366    12    31  2016     14       0  rtu140                 0.940   47722.469       0.000    1174.763      18.434     259.296       0.000      85.281       0.000       0.051     161.760       0.000       0.000      23.370      12.676      18.023      16.647       1.547       0.687       0.468       0.000       0.000       0.000       0.000
