  Year,   Mon,   Day,   HRU,              Precip,               Irrig,                Seep,                 PET,                  ET,               WeirH,              Wtrdep,               WeirQ,                  SW,              Sedcon,              SedYld,              NO3Con,              NO3Yld,                 LAI,                 SALT
  2016,     1,     1,     1,                 0.0,                 0.0,                 0.0,                 0.8,                 0.2,                 0.0,                 0.0,                 0.0,                15.9,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2016,     1,     2,     1,                 0.0,                 0.0,                 0.0,                 2.6,                 0.5,                 0.0,                 0.0,                 0.0,                15.5,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2016,     1,     3,     1,                 0.0,                 0.0,                 0.0,                 2.3,                 0.3,                 0.0,                 0.0,                 0.0,                15.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2016,     1,     4,     1,                 0.0,                 0.0,                 0.0,                 5.7,                 0.8,                 0.0,                 0.0,                 0.0,                14.3,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2016,     1,     5,     1,                 0.0,                 0.0,                 0.0,                 0.4,                 0.1,                 0.0,                 0.0,                 0.0,                14.3,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2016,     1,     6,     1,                 0.0,                 0.0,                 0.0,                 3.4,                 0.5,                 0.0,                 0.0,                 0.0,                13.8,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2016,     1,     7,     1,                 0.0,                 0.0,                 0.0,                 3.4,                 0.4,                 0.0,                 0.0,                 0.0,                13.3,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2016,     1,     8,     1,                 0.0,                 0.0,                 0.0,                 3.7,                 0.5,                 0.0,                 0.0,                 0.0,                12.9,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2016,     1,     9,     1,                 0.0,                 0.0,                 0.0,                 3.1,                 0.4,                 0.0,                 0.0,                 0.0,                12.5,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2016,     1,    10,     1,                 0.0,                 0.0,                 0.0,                 4.2,                 0.5,                 0.0,                 0.0,                 0.0,                11.9,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2016,     1,    11,     1,                 0.4,                 0.0,                 0.4,                 3.9,                 0.5,                 0.0,                 0.0,                 0.0,                11.9,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2016,     1,    12,     1,                 0.0,                 0.0,                 0.0,                 3.7,                 0.7,                 0.0,                 0.0,                 0.0,                11.2,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
