 Comunidad_de_riego_Turia_ SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
    31     1    31  2016       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    60     2    29  2016       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    91     3    31  2016       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   121     4    30  2016       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   152     5    31  2016       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   182     6    30  2016       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   213     7    31  2016       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   244     8    31  2016       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.806       0.000       0.003       0.000       0.000       0.000       0.000       0.000       0.000
   274     9    30  2016       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.610       0.000       0.002       0.000       0.000       0.000       0.000       0.000       0.000
   305    10    31  2016       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.179       0.000       0.001       0.000       0.000       0.000       0.000       0.000       0.000
   335    11    30  2016       1       1  Comunidad_de_rie       0.000       0.000       0.000       1.276       0.000       0.010       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2016       1       1  Comunidad_de_rie       0.000       0.000       0.000       4.536       0.000       0.074       0.000       0.000       0.000       0.000       0.000       0.000
    31     1    31  2017       1       1  Comunidad_de_rie       0.000       0.000       0.000       1.844       0.000       0.061       0.000       0.000       0.000       0.000       0.000       0.000
    59     2    28  2017       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.556       0.000       0.020       0.000       0.000       0.000       0.000       0.000       0.000
    90     3    31  2017       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.513       0.000       0.026       0.000       0.000       0.000       0.000       0.000       0.000
   120     4    30  2017       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.098       0.000       0.003       0.000       0.000       0.000       0.000       0.000       0.000
   151     5    31  2017       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.062       0.000       0.001       0.000       0.000       0.000       0.000       0.000       0.000
   181     6    30  2017       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   212     7    31  2017       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   243     8    31  2017       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   273     9    30  2017       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.222       0.000       0.003       0.000       0.000       0.000       0.000       0.000       0.000
   304    10    31  2017       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.002       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
