 Comunidad_de_riego_Turia_ SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
    31     1    31  2016       1       1  Comunidad_de_rie       0.750   47832.629       0.000    1944.229      16.678       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      18.375       8.323      13.349       7.706       2.453       0.629       0.033       0.000       0.000       0.000       0.000
    60     2    29  2016       1       1  Comunidad_de_rie       0.750   47832.629       0.000    1437.423      16.818      23.000       0.000      19.217       0.000       0.051       0.000       0.000       0.000      18.530       7.781      13.156      11.023       2.954       0.551       0.090       0.000       0.000       0.000       0.000
    91     3    31  2016       1       1  Comunidad_de_rie       0.751   47870.148       0.000    1063.798      16.978      29.311       0.000      26.208       0.000       0.000       0.000       0.000       0.000      19.470       7.295      13.383      16.170       1.897       0.581       0.147       0.000       0.000       0.000       0.000
   121     4    30  2016       1       1  Comunidad_de_rie       0.797   48076.637       0.000     782.747      18.071      28.646       0.000      17.015       0.000       0.000       0.000       0.000       0.000      21.619      10.051      15.835      19.777       1.540       0.643       0.213       0.000       0.000       0.000       0.000
   152     5    31  2016       1       1  Comunidad_de_rie       1.134   48296.496       0.000     576.244      18.637      30.176       0.000      10.792       0.000       0.000       0.000       0.000       0.000      24.008      12.442      18.225      23.558       1.607       0.659       0.288       0.000       0.000       0.000       0.000
   182     6    30  2016       1       1  Comunidad_de_rie       1.294   48365.363       0.000     424.002      19.998      30.000       0.000       2.287       0.000       0.000       0.000       0.000       0.000      28.040      16.485      22.263      27.157       1.278       0.677       0.381       0.000       0.000       0.000       0.000
   213     7    31  2016       1       1  Comunidad_de_rie       1.294   48365.363       0.000     312.142      20.648      31.000       0.000       0.467       0.000       0.000       0.000       0.000       0.000      30.656      19.907      25.282      25.708       1.156       0.685       0.488       0.000       0.000       0.000       0.000
   244     8    31  2016       1       1  Comunidad_de_rie       1.294   48471.566       0.000     228.583      20.706      30.385       0.000       0.367       0.000       0.000       0.000       0.000       0.000      30.340      20.087      25.214      22.628       1.063       0.735       0.604       0.000       0.000       0.000       0.000
   274     9    30  2016       1       1  Comunidad_de_rie       0.950   48520.461       0.000     230.771      20.142      28.263       0.000       1.975       0.000       0.000       0.000       0.000       0.000      28.980      17.922      23.451      18.483       1.091       0.714       0.715       0.000       0.000       0.000       0.000
   305    10    31  2016       1       1  Comunidad_de_rie       0.750   49016.270       0.000     193.761      18.970      25.801       0.000       6.051       0.000       0.000       0.000       0.000       0.000      24.498      15.663      20.080      12.121       0.996       0.799       0.812       0.000       0.000       0.000       0.000
   335    11    30  2016       1       1  Comunidad_de_rie       0.750   45312.141       0.000    3796.405      17.277       2.714       0.000       0.903       0.000       0.000       0.000       0.000       0.000      19.272       8.987      14.130       8.555       1.406       0.718       0.889       0.000       0.000       0.000       0.000
   366    12    31  2016       1       1  Comunidad_de_rie       0.750   44699.547       0.000    3141.307      16.235       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      16.482       6.938      11.710       6.757       1.187       0.845       0.946       0.000       0.000       0.000       0.000
    31     1    31  2017       1       1  Comunidad_de_rie       0.750   44699.547       0.000    1840.311      15.535       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      15.285       4.166       9.726       8.622       1.624       0.684       0.022       0.000       0.000       0.000       0.000
    59     2    28  2017       1       1  Comunidad_de_rie       0.750   44728.969       0.000    1367.120      16.557      19.906       0.000      21.861       0.000       0.060       0.000       0.000       0.000      17.247       7.921      12.584      11.274       1.948       0.699       0.072       0.000       0.000       0.000       0.000
    90     3    31  2017       1       1  Comunidad_de_rie       0.755   44941.410       0.000    1017.110      17.398      27.777       0.000      22.529       0.000       0.000       0.000       0.000       0.000      20.723       8.178      14.451      18.237       1.874       0.665       0.131       0.000       0.000       0.000       0.000
   120     4    30  2017       1       1  Comunidad_de_rie       0.770   45158.238       0.000     748.394      18.035      29.286       0.000      18.772       0.000       0.000       0.000       0.000       0.000      21.652       9.012      15.332      20.908       1.527       0.670       0.197       0.000       0.000       0.000       0.000
   151     5    31  2017       1       1  Comunidad_de_rie       1.016   45439.750       0.000     550.953      19.092      30.243       0.000       6.892       0.000       0.000       0.000       0.000       0.000      25.549      13.656      19.602      26.401       1.632       0.670       0.275       0.000       0.000       0.000       0.000
   181     6    30  2017       1       1  Comunidad_de_rie       1.119   45561.801       0.000     405.394      20.404      29.726       0.000       1.371       0.000       0.000       0.000       0.000       0.000      29.868      18.427      24.148      27.828       1.566       0.670       0.372       0.000       0.000       0.000       0.000
   212     7    31  2017       1       1  Comunidad_de_rie       1.124   45577.410       0.000     298.443      20.822      31.000       0.000       0.893       0.000       0.000       0.000       0.000       0.000      30.582      20.604      25.593      25.121       1.486       0.722       0.485       0.000       0.000       0.000       0.000
   243     8    31  2017       1       1  Comunidad_de_rie       1.122   45577.898       0.000     219.408      20.752      30.715       0.000       0.921       0.000       0.000       0.000       0.000       0.000      30.339      20.877      25.608      20.392       1.267       0.737       0.604       0.000       0.000       0.000       0.000
   273     9    30  2017       1       1  Comunidad_de_rie       0.815   45740.730       0.000     211.136      19.819      29.017       0.000       2.229       0.000       0.000       0.000       0.000       0.000      28.056      16.920      22.488      18.165       1.320       0.713       0.711       0.000       0.000       0.000       0.000
   304    10    31  2017       1       1  Comunidad_de_rie       0.750   45886.621       0.000     162.998      18.908      29.011       0.000       6.678       0.000       0.000       0.000       0.000       0.000      25.364      14.102      19.733      14.228       1.055       0.763       0.807       0.000       0.000       0.000       0.000
   334    11    30  2017       1       1  Comunidad_de_rie       0.750   42432.574       0.000    3441.242      16.996       4.000       0.000       1.497       0.000       0.000       0.000       0.000       0.000      20.099       5.900      12.999      10.811       1.130       0.632       0.880       0.000       0.000       0.000       0.000
   365    12    31  2017       1       1  Comunidad_de_rie       0.750   41710.414       0.000    2969.539      15.830       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      16.607       4.649      10.628       8.627       2.360       0.599       0.928       0.000       0.000       0.000       0.000
    31     1    31  2018       1       1  Comunidad_de_rie       0.750   41710.414       0.000    1739.683      16.502       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      17.317       6.712      12.014       9.753       2.402       0.612       0.029       0.000       0.000       0.000       0.000
    59     2    28  2018       1       1  Comunidad_de_rie       0.750   41737.121       0.000    1292.365      16.038      15.766       0.000      26.900       0.000       0.000       0.000       0.000       0.000      14.888       4.578       9.733      11.252       1.586       0.661       0.075       0.000       0.000       0.000       0.000
    90     3    31  2018       1       1  Comunidad_de_rie       0.753   41898.492       0.000     961.494      17.007      28.553       0.000      23.519       0.000       0.000       0.000       0.000       0.000      19.570       8.657      14.113      16.210       2.747       0.514       0.128       0.000       0.000       0.000       0.000
   120     4    30  2018       1       1  Comunidad_de_rie       0.760   41975.586       0.000     707.471      17.954      29.552       0.000      17.466       0.000       0.000       0.000       0.000       0.000      21.231      10.116      15.674      20.598       2.021       0.621       0.194       0.000       0.000       0.000       0.000
   151     5    31  2018       1       1  Comunidad_de_rie       0.768   41993.465       0.000     520.827      18.877      31.000       0.000       9.477       0.000       0.000       0.000       0.000       0.000      24.767      12.373      18.570      24.790       1.523       0.645       0.270       0.000       0.000       0.000       0.000
   181     6    30  2018       1       1  Comunidad_de_rie       0.922   42312.566       0.000     383.227      19.932      28.273       0.000       2.003       0.000       0.000       0.000       0.000       0.000      28.116      17.037      22.577      26.496       1.525       0.655       0.363       0.000       0.000       0.000       0.000
   212     7    31  2018       1       1  Comunidad_de_rie       0.967   42500.684       0.000     282.124      21.027      30.899       0.000       0.564       0.000       0.000       0.000       0.000       0.000      31.429      20.706      26.068      27.884       1.479       0.698       0.473       0.000       0.000       0.000       0.000
   243     8    31  2018       1       1  Comunidad_de_rie       0.967   42501.840       0.000     206.678      21.067      31.000       0.000       0.944       0.000       0.000       0.000       0.000       0.000      31.904      21.438      26.671      22.476       1.310       0.713       0.595       0.000       0.000       0.000       0.000
   273     9    30  2018       1       1  Comunidad_de_rie       0.801   42635.895       0.000     177.380      20.168      27.282       0.000       0.934       0.000       0.000       0.000       0.000       0.000      28.746      18.877      23.812      16.387       0.939       0.796       0.709       0.000       0.000       0.000       0.000
   304    10    31  2018       1       1  Comunidad_de_rie       0.750   43149.492       0.000     135.947      18.599      20.289       0.000      11.916       0.000       0.000       0.000       0.000       0.000      23.211      12.675      17.943      12.419       1.030       0.762       0.803       0.000       0.000       0.000       0.000
   334    11    30  2018       1       1  Comunidad_de_rie       0.750   40156.266       0.000    3243.329      16.987       0.250       0.000       3.800       0.000       0.000       0.000       0.000       0.000      18.599       9.305      13.952       7.601       1.153       0.769       0.872       0.000       0.000       0.000       0.000
   365    12    31  2018       1       1  Comunidad_de_rie       0.750   39474.863       0.000    2800.463      16.433       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      19.110       5.956      12.533       8.118       1.122       0.725       0.933       0.000       0.000       0.000       0.000
    31     1    31  2019       1       1  Comunidad_de_rie       0.750   39474.863       0.000    1640.630      15.668       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      17.452       3.426      10.439       8.875       1.595       0.615       0.022       0.000       0.000       0.000       0.000
    59     2    28  2019       1       1  Comunidad_de_rie       0.750   39474.863       0.000    1218.782      16.392      22.000       0.000      23.183       0.000       0.061       0.000       0.000       0.000      18.790       4.426      11.608      12.578       1.348       0.659       0.072       0.000       0.000       0.000       0.000
    90     3    31  2019       1       1  Comunidad_de_rie       0.750   39474.863       0.000     906.749      17.361      30.905       0.000      24.899       0.000       0.000       0.000       0.000       0.000      21.005       6.428      13.717      18.224       1.338       0.602       0.130       0.000       0.000       0.000       0.000
   120     4    30  2019       1       1  Comunidad_de_rie       0.777   39681.277       0.000     667.190      17.628      25.233       0.000      19.331       0.000       0.000       0.000       0.000       0.000      20.664       9.453      15.058      17.765       1.770       0.678       0.192       0.000       0.000       0.000       0.000
   151     5    31  2019       1       1  Comunidad_de_rie       1.006   40481.172       0.000     491.173      18.730      29.182       0.000      11.301       0.000       0.000       0.000       0.000       0.000      24.140      11.907      18.024      24.568       1.331       0.684       0.266       0.000       0.000       0.000       0.000
   181     6    30  2019       1       1  Comunidad_de_rie       1.134   40560.324       0.000     361.407      19.857      30.000       0.000       3.226       0.000       0.000       0.000       0.000       0.000      28.560      15.306      21.933      27.246       1.325       0.648       0.354       0.000       0.000       0.000       0.000
   212     7    31  2019       1       1  Comunidad_de_rie       1.135   40560.328       0.000     266.061      21.138      31.000       0.000       0.813       0.000       0.000       0.000       0.000       0.000      32.485      20.384      26.434      25.643       1.302       0.667       0.466       0.000       0.000       0.000       0.000
   243     8    31  2019       1       1  Comunidad_de_rie       1.135   40560.328       0.000     194.837      21.063      31.000       0.000       1.264       0.000       0.000       0.000       0.000       0.000      32.534      20.382      26.458      22.672       1.154       0.701       0.587       0.000       0.000       0.000       0.000
   273     9    30  2019       1       1  Comunidad_de_rie       0.904   40706.359       0.000     177.429      20.019      26.569       0.000       1.219       0.000       0.000       0.000       0.000       0.000      28.713      18.393      23.553      16.378       1.160       0.738       0.698       0.000       0.000       0.000       0.000
   304    10    31  2019       1       1  Comunidad_de_rie       0.750   41126.090       0.000     146.184      19.000      27.222       0.000       7.596       0.000       0.000       0.000       0.000       0.000      25.745      13.674      19.710      13.951       1.132       0.724       0.797       0.000       0.000       0.000       0.000
   334    11    30  2019       1       1  Comunidad_de_rie       0.750   38243.617       0.000    3101.148      17.479       3.713       0.000       0.313       0.000       0.000       0.000       0.000       0.000      19.880      10.424      15.152      10.282       2.837       0.568       0.875       0.000       0.000       0.000       0.000
   365    12    31  2019       1       1  Comunidad_de_rie       0.750   37594.707       0.000    2676.131      16.959       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      18.103       9.118      13.611       7.324       2.241       0.714       0.937       0.000       0.000       0.000       0.000
    31     1    31  2020       1       1  Comunidad_de_rie       0.750   37594.707       0.000    1567.792      15.926       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      16.076       5.184      10.630       8.186       1.565       0.774       0.023       0.000       0.000       0.000       0.000
    60     2    29  2020       1       1  Comunidad_de_rie       0.751   37666.102       0.000    1159.111      17.121      20.180       0.000      17.960       0.000       0.000       0.000       0.000       0.000      20.877       7.786      14.331      13.665       1.526       0.728       0.081       0.000       0.000       0.000       0.000
    91     3    31  2020       1       1  Comunidad_de_rie       0.760   37804.547       0.000     857.828      17.364      20.752       0.000      23.555       0.000       0.000       0.000       0.000       0.000      18.542       9.706      14.124      11.972       2.022       0.715       0.146       0.000       0.000       0.000       0.000
   121     4    30  2020       1       1  Comunidad_de_rie       0.860   38220.539       0.000     631.193      17.587      26.678       0.000      16.781       0.000       0.000       0.000       0.000       0.000      20.369      11.429      15.899      17.677       1.449       0.786       0.208       0.000       0.000       0.000       0.000
   152     5    31  2020       1       1  Comunidad_de_rie       1.188   38601.883       0.000     464.672      19.340      30.314       0.000       5.391       0.000       0.000       0.000       0.000       0.000      26.263      14.452      20.357      24.805       1.499       0.705       0.292       0.000       0.000       0.000       0.000
   182     6    30  2020       1       1  Comunidad_de_rie       1.338   38792.305       0.000     341.908      20.163      29.448       0.000       1.535       0.000       0.000       0.000       0.000       0.000      28.856      17.155      23.006      26.602       1.545       0.696       0.388       0.000       0.000       0.000       0.000
   213     7    31  2020       1       1  Comunidad_de_rie       1.339   38966.887       0.000     251.706      20.834      30.776       0.000       0.451       0.000       0.000       0.000       0.000       0.000      31.024      20.905      25.964      24.824       1.281       0.738       0.499       0.000       0.000       0.000       0.000
   244     8    31  2020       1       1  Comunidad_de_rie       1.294   39061.840       0.000     192.830      21.096      30.763       0.000       1.315       0.000       0.000       0.000       0.000       0.000      32.012      20.886      26.449      23.080       1.221       0.716       0.620       0.000       0.000       0.000       0.000
   274     9    30  2020       1       1  Comunidad_de_rie       0.778   39002.512       0.000     209.220      20.060      29.808       0.000       1.699       0.000       0.000       0.000       0.000       0.000      29.277      17.088      23.183      18.390       1.259       0.674       0.731       0.000       0.000       0.000       0.000
   305    10    31  2020       1       1  Comunidad_de_rie       0.750   39040.469       0.000     156.176      18.570      30.540       0.000      10.319       0.000       0.000       0.000       0.000       0.000      24.529      12.174      18.352      14.340       1.644       0.626       0.825       0.000       0.000       0.000       0.000
   335    11    30  2020       1       1  Comunidad_de_rie       0.750   35879.609       0.000    3027.262      17.374       3.000       0.000       1.264       0.000       0.000       0.000       0.000       0.000      19.847       9.938      14.893       8.100       1.001       0.878       0.899       0.000       0.000       0.000       0.000
   366    12    31  2020       1       1  Comunidad_de_rie       0.750   35389.430       0.000    2504.763      16.384       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      16.857       6.738      11.797       8.240       2.439       0.721       0.958       0.000       0.000       0.000       0.000
    31     1    31  2021       1       1  Comunidad_de_rie       0.750   35389.430       0.000    1467.397      15.664       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      15.496       5.079      10.287       8.372       2.133       0.719       0.019       0.000       0.000       0.000       0.000
    59     2    28  2021       1       1  Comunidad_de_rie       0.750   35395.965       0.000    1090.091      17.088      21.238       0.000      19.019       0.000       0.000       0.000       0.000       0.000      17.682       9.469      13.576      10.106       2.015       0.751       0.077       0.000       0.000       0.000       0.000
    90     3    31  2021       1       1  Comunidad_de_rie       0.753   35545.867       0.000     811.006      16.809      26.579       0.000      29.247       0.000       0.000       0.000       0.000       0.000      17.577       7.383      12.480      13.827       1.229       0.797       0.132       0.000       0.000       0.000       0.000
   120     4    30  2021       1       1  Comunidad_de_rie       0.767   35847.910       0.000     596.741      17.275      24.804       0.000      22.098       0.000       0.000       0.000       0.000       0.000      18.877       9.704      14.290      14.189       1.092       0.813       0.191       0.000       0.000       0.000       0.000
   151     5    31  2021       1       1  Comunidad_de_rie       0.901   36303.738       0.000     439.310      18.850      30.194       0.000       8.290       0.000       0.000       0.000       0.000       0.000      24.890      13.469      19.180      21.981       1.420       0.726       0.267       0.000       0.000       0.000       0.000
   181     6    30  2021       1       1  Comunidad_de_rie       1.083   36399.898       0.000     323.246      19.740      29.572       0.000       1.873       0.000       0.000       0.000       0.000       0.000      27.814      17.193      22.504      22.454       1.165       0.733       0.361       0.000       0.000       0.000       0.000
   212     7    31  2021       1       1  Comunidad_de_rie       1.100   36480.945       0.000     237.968      20.698      30.429       0.000       0.843       0.000       0.000       0.000       0.000       0.000      30.584      19.922      25.253      25.192       1.263       0.745       0.469       0.000       0.000       0.000       0.000
   243     8    31  2021       1       1  Comunidad_de_rie       1.100   36719.391       0.000     174.264      20.637      30.148       0.000       0.701       0.000       0.000       0.000       0.000       0.000      30.622      20.752      25.687      19.693       1.085       0.767       0.585       0.000       0.000       0.000       0.000
