 Comunidad_de_riego_Turia_ SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor 
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons 
    31     1    31  2016         1     1  Comunidad_de_rieg     0.1614E-04     0.0000E+00     0.1795E-04     0.1616E-04     0.5237E-07     0.1905E-08     0.1905E-08     0.0000E+00     0.1905E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.5045E-05     0.0000E+00     0.5885E-05     0.3072E-04
    60     2    29  2016         1     1  Comunidad_de_rieg     0.4644E-05     0.0000E+00     0.5032E-05     0.4657E-05     0.5217E-07     0.9718E-09     0.9718E-09     0.0000E+00     0.9718E-09     0.0000E+00     0.0000E+00     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.1520E-05     0.0000E+00     0.1720E-05     0.2856E-04
    91     3    31  2016         1     1  Comunidad_de_rieg     0.1600E-02     0.0000E+00     0.1827E-02     0.3367E-02     0.5312E-07     0.1178E-07     0.1178E-07     0.0000E+00     0.1178E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.4723E-02     0.0000E+00     0.1445E-01     0.6431E-05
   121     4    30  2016         1     1  Comunidad_de_rieg     0.2537E-02     0.0000E+00     0.2944E-02     0.5736E-02     0.5307E-07     0.1090E-07     0.1090E-07     0.0000E+00     0.1090E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.8863E-02     0.0000E+00     0.3257E-01     0.5306E-06
   152     5    31  2016         1     1  Comunidad_de_rieg     0.1795E-02     0.0000E+00     0.2092E-02     0.4127E-02     0.5269E-07     0.1141E-07     0.1141E-07     0.0000E+00     0.1141E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.6328E-02     0.0000E+00     0.2344E-01     0.4090E-06
   182     6    30  2016         1     1  Comunidad_de_rieg     0.2065E-04     0.0000E+00     0.2065E-04     0.6213E-04     0.5208E-07     0.1070E-07     0.1070E-07     0.0000E+00     0.1070E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.1123E-03     0.0000E+00     0.8466E-03     0.3798E-06
   213     7    31  2016         1     1  Comunidad_de_rieg     0.1174E-04     0.0000E+00     0.1174E-04     0.3433E-04     0.5206E-07     0.1030E-07     0.1030E-07     0.0000E+00     0.1030E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.5729E-04     0.0000E+00     0.4000E-03     0.3851E-06
   244     8    31  2016         1     1  Comunidad_de_rieg     0.1886E+01     0.0000E+00     0.1759E+01     0.3182E+01     0.1976E-02     0.1021E-02     0.7661E-03     0.0000E+00     0.6631E-03     0.0000E+00     0.2554E-03     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.0000E+00     0.5928E-03     0.0000E+00     0.4906E+01     0.0000E+00     0.4627E+01     0.3208E-01
   274     9    30  2016         1     1  Comunidad_de_rieg     0.1564E+01     0.0000E+00     0.1382E+01     0.2780E+01     0.1804E-02     0.8484E-03     0.6860E-03     0.0000E+00     0.5948E-03     0.0000E+00     0.1624E-03     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.0000E+00     0.4663E-03     0.0000E+00     0.4717E+01     0.0000E+00     0.4351E+01     0.2804E-01
   305    10    31  2016         1     1  Comunidad_de_rieg     0.2404E+00     0.0000E+00     0.3070E+00     0.2692E+00     0.7980E-04     0.2350E-04     0.2350E-04     0.0000E+00     0.2350E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.1348E+00     0.0000E+00     0.2495E+00     0.9283E-02
