 Comunidad_de_riego_Turia_ SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor 
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons 
    31     1    31  2016       1       1  cha01                0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1982E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7118E+00     0.8746E-01     0.3600E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2874E-35     0.0000E+00
    31     1    31  2016       2       2  cha02                0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1935E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2692E+00     0.4574E-01     0.1000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1037E-35     0.0000E+00
    31     1    31  2016       3       3  cha03                0.8100E-35     0.0000E+00     0.1218E-33     0.2592E-33     0.2350E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1863E+01     0.1661E+00     0.1000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.1176E-31     0.0000E+00     0.1769E-30     0.5598E-33
    31     1    31  2016       4       4  cha04                0.4233E-10     0.0000E+00     0.3625E-10     0.2087E-09     0.3410E-07     0.8250E-08     0.8250E-08     0.0000E+00     0.8250E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.4038E+01     0.2782E+00     0.8100E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.1693E-07     0.0000E+00     0.1449E-07     0.1963E-09
    31     1    31  2016       5       5  cha05                0.3170E-18     0.0000E+00     0.3694E-14     0.1014E-16     0.2831E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1944E+01     0.1709E+00     0.1000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.4286E-15     0.0000E+00     0.4995E-11     0.5237E-15
    31     1    31  2016       6       6  cha06                0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3064E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5007E-01     0.1490E-01     0.1000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3127E-35     0.0000E+00
    31     1    31  2016       7       7  cha07                0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8294E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2681E+00     0.4561E-01     0.3290E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1693E-36     0.0000E+00
    31     1    31  2016       8       8  cha08                0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8231E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2840E+00     0.4739E-01     0.1470E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3895E-36     0.0000E+00
    31     1    31  2016       9       9  cha09                0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7769E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3436E+00     0.5382E-01     0.1340E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5158E-36     0.0000E+00
    31     1    31  2016      10      10  cha10                0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1608E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4344E+00     0.6292E-01     0.9500E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8614E-36     0.0000E+00
    31     1    31  2016      11      11  cha11                0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1945E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6398E+00     0.8145E-01     0.1330E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3207E-36     0.0000E+00
    31     1    31  2016      12      12  cha12                0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9640E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1549E+00     0.3164E-01     0.1770E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1529E-36     0.0000E+00
    31     1    31  2016      13      13  cha13                0.1332E-23     0.0000E+00     0.1236E-19     0.4262E-22     0.2006E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1073E+01     0.1150E+00     0.1100E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.4850E-20     0.0000E+00     0.4499E-16     0.2091E-21
    31     1    31  2016      14      14  cha14                0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1915E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1061E+01     0.1141E+00     0.2300E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1245E-35     0.1278E-37
    31     1    31  2016      15      15  cha15                0.1220E-17     0.0000E+00     0.2715E-17     0.3903E-16     0.2495E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2308E+01     0.1916E+00     0.1000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.1239E-14     0.0000E+00     0.2759E-14     0.1507E-16
