 Comunidad_de_riego_Turia_ SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
    366    12    31  2016      1       0  rtu010                 0.000       0.000       0.000       7.432       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016      2       0  rtu020                 0.000       0.000       0.000       7.447       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016      3       0  rtu030                 0.000       0.000       0.000       7.455       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016      4       0  rtu040                 0.001       0.000       0.000       7.455       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016      5       0  rtu050                 0.000       0.000       0.000       7.455       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016      6       0  rtu060                 0.001       0.000       0.000       7.455       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016      7       0  rtu070                 0.000       0.000       0.000       7.453       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016      8       0  rtu080                 0.000       0.000       0.000       7.453       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016      9       0  rtu090                 0.000       0.000       0.000       7.453       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     10       0  rtu100                 0.000       0.000       0.000       7.451       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     11       0  rtu110                 0.000       0.000       0.000       7.445       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     12       0  rtu120                 0.000       0.000       0.000       7.454       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     13       0  rtu130                 0.000       0.000       0.000       7.454       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     14       0  rtu140                 0.000       0.000       0.000       7.424       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     15       0  rtu150                 0.000       0.000       0.000       7.455       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     16       0  rtu160                 0.000       0.000       0.000       7.449       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     17       0  rtu170                 0.000       0.000       0.000       7.439       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     18       0  rtu180                 0.000       0.000       0.000       7.417       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     19       0  rtu190                 0.000       0.000       0.000       7.447       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     20       0  rtu200                 0.000       0.000       0.000       7.402       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     21       0  rtu210                 0.000       0.000       0.000       7.430       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     22       0  rtu220                 0.000       0.000       0.000       7.394       0.000       0.089       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     23       0  rtu230                 0.000       0.000       0.000       7.454       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     24       0  rtu240                 0.000       0.000       0.000       7.425       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     25       0  rtu250                 0.000       0.000       0.000       7.374       0.000       0.089       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     26       0  rtu260                 0.000       0.000       0.000       7.450       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     27       0  rtu270                 0.000       0.000       0.000       7.436       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     28       0  rtu280                 0.000       0.000       0.000       7.445       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     29       0  rtu290                 0.000       0.000       0.000       7.440       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     30       0  rtu300                 0.000       0.000       0.000       7.436       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     31       0  rtu310                 0.000       0.000       0.000       7.433       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     32       0  rtu320                 0.000       0.000       0.000       7.442       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     33       0  rtu330                 0.000       0.000       0.000       7.452       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     34       0  rtu340                 0.000       0.000       0.000       7.408       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     35       0  rtu350                 0.000       0.000       0.000       7.394       0.000       0.089       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     36       0  rtu360                 0.000       0.000       0.000       7.422       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     37       0  rtu370                 0.000       0.000       0.000       7.409       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     38       0  rtu380                 0.000       0.000       0.000       7.436       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     39       0  rtu390                 0.000       0.000       0.000       7.455       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     40       0  rtu400                 0.000       0.000       0.000       7.455       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     41       0  rtu410                 0.000       0.000       0.000       7.454       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     42       0  rtu420                 0.000       0.000       0.000       7.454       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     43       0  rtu430                 0.000       0.000       0.000       7.455       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     44       0  rtu440                 0.000       0.000       0.000       7.455       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     45       0  rtu450                 0.000       0.000       0.000       7.455       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     46       0  rtu460                 0.000       0.000       0.000       7.455       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     47       0  rtu470                 0.000       0.000       0.000       7.454       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     48       0  rtu480                 0.000       0.000       0.000       7.455       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     49       0  rtu490                 0.000       0.000       0.000       7.455       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     50       0  rtu500                 0.000       0.000       0.000       7.454       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     51       0  rtu510                 0.000       0.000       0.000       7.455       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     52       0  rtu520                 0.000       0.000       0.000       7.454       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     53       0  rtu530                 0.000       0.000       0.000       7.455       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     54       0  rtu540                 0.000       0.000       0.000       7.454       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     55       0  rtu550                 0.001       0.000       0.000       7.455       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     56       0  rtu560                 0.001       0.000       0.000       7.455       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     57       0  rtu570                 0.001       0.000       0.000       7.455       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     58       0  rtu580                 0.001       0.000       0.000       7.455       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     59       0  rtu590                 0.001       0.000       0.000       7.455       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     60       0  rtu600                 0.000       0.000       0.000       7.455       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     61       0  rtu610                 0.001       0.000       0.000       7.455       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     62       0  rtu620                 0.001       0.000       0.000       7.454       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     63       0  rtu630                 0.000       0.000       0.000       7.454       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     64       0  rtu640                 0.000       0.000       0.000       7.451       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     65       0  rtu650                 0.000       0.000       0.000       7.454       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     66       0  rtu660                 0.000       0.000       0.000       7.454       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     67       0  rtu670                 0.000       0.000       0.000       7.455       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     68       0  rtu680                 0.001       0.000       0.000       7.455       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
    366    12    31  2016     69       0  rtu690                 0.000       0.000       0.000       7.452       0.000       0.090       0.000       0.000       0.000       0.000       0.000       0.000
